ID,昵称,法币,带单规模,跟单收益,人数上限,跟单人数,累计跟单人数,近七日跟单人数,近七日跟单比例,平均持仓秒,盈利笔数,亏损笔数,总笔数,盈亏比,胜率,收益率,收益额,总做多倍数,总做空倍数,币种,币种类型,杠杆倍数,开仓均价,开仓时间,强平价,全仓逐仓,当前收益率,仓位倍数,多空,net方向
9CBD84F17C8A7DD2,Ninjascalp,,,,,,,,,,,,,,,,,,3.12,SOL-USDT-SWAP,SWAP,3,34.918855633802817,1698658821433,51.93691204265895,isolated,-0.4033761371308029,3.1168563594822669,short,1
D5E7A8430A35CA84,Average-Moon-Cypress,USDT,884201.6014059420597369,-91962.5625616680298939,1000,705,6524,946,0.1696,54513.0,92,53,145,1.4108,0.6296,0.306,39656.0720979999578619,2.45,,ETH-USDT-SWAP,SWAP,20,1828.476666666666667,1699042782725,64.11251544302361,cross,0.0046304482966697,0.8570574064143649,net,1
D5E7A8430A35CA84,Average-Moon-Cypress,USDT,884201.6014059420597369,-91962.5625616680298939,1000,705,6524,946,0.1696,54513.0,92,53,145,1.4108,0.6296,0.306,39656.0720979999578619,2.45,,SOL-USDT-SWAP,SWAP,10,38.7595540000000005,1699035072786,,cross,0.220447841066489,0.1546989633919234,net,1
D5E7A8430A35CA84,Average-Moon-Cypress,USDT,884201.6014059420597369,-91962.5625616680298939,1000,705,6524,946,0.1696,54513.0,92,53,145,1.4108,0.6296,0.306,39656.0720979999578619,2.45,,XRP-USDT-SWAP,SWAP,10,0.608854000000003,1699024502774,0.2588727183240616,cross,0.0840267124794614,1.4385902340648139,net,1
A532709E1A38660A,rookie can fly,,,,,,,,,,,,,,,,,,11.19,TRB-USDT-SWAP,SWAP,20,119.9,1699023096615,214.26961959056038,cross,1.2243536280233536,1.0408004028353952,short,1
A532709E1A38660A,rookie can fly,,,,,,,,,,,,,,,,,,11.19,ETH-USDT-SWAP,SWAP,100,1809.36,1699020684009,1998.837924220499,cross,-1.079939868240709,10.1466943323329144,short,1
6B1EB9E2A7F2589E,112233,,,,,,,,,,,,,,,,,,74.82,BTC-USDT-SWAP,SWAP,75,34506.8006156477114358,1699004794745,34987.68487599,cross,-0.3799237713297654,74.820703207800489,short,1
344343FCF33CAB1E,佳哥带你吃大饼,USDT,1429.9014488448183318,-13930.4757151999999984,100,55,423,0,0.0000,42946.0,20,1,21,0.7872,1,0.5587,71.5520245,0.97,,PEPE-USDT-SWAP,SWAP,50,0.0000010479901407,1698958818778,,cross,1.8182355835210773,0.9686629630906354,long,1
59843111FD2E2344,LamSansom,USDT,1006.4986728087132103,596.8524485000004329,100,11,37,0,0.0000,181639.0,7,1,8,0.4275,1,0.5625,856.84,5.80,,LTC-USDT-SWAP,SWAP,5,64.7560773480662986,1694167639982,57.87118883164389,cross,0.3608867957528683,5.8032868652883584,long,1
D2CD473DED933D73,This-SegWit-Quinoa,USDT,15077.0999500507647086,-45275.6623114999987554,500,96,1196,0,0.0000,145814.0,6,3,9,1.2943,0.6667,0.6488,5081.7799999999999995,,6.37,BTC-USDT-SWAP,SWAP,100,33894.0700000000000001,1698127005346,39887.10029387396,cross,-2.323503786945613,6.3569781626316016,net,-1
712A3C899EC7D4B7,176***4864,USDT,0,0,100,0,3,0,0.0000,374050.0,0,0,0,0.0,0,0.0,0,2.85,,DOGE-USDT,MARGIN,5,0.07105,1692136417333,0.0521420504122177,cross,-0.2495371571206888,2.8527254330718855,net,1
12EEDFDF71830931,Handy-Bag-Okra,USDT,84074.6879239732121087,35880.8151860349484748,500,458,3094,114,0.0383,81164.0,19,1,20,0.7423,0.8889,0.0903,397.3425524999999119,0.20,,APE-USDT-SWAP,SWAP,3,1.4,1699002315845,,cross,-0.0698571428571427,0.2028644024240291,long,1
DB1F4189682AF52B,Crypto Expert,USDT,346.6208435373242447,-2488.1005346900000186,100,27,199,0,0.0000,169809.0,33,6,39,0.2312,0.5,-0.2065,-169.801,1.22,,DOT-USDT-SWAP,SWAP,3,4.271650105964748,1689352086144,2.8693585735247362,isolated,0.2411362486518822,1.2246306045287128,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,ZEC-USDT-SWAP,SWAP,3,28.3725,1698878280502,,cross,-0.0901401004493788,0.0693076091782685,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,AAVE-USDT-SWAP,SWAP,3,89.18,1698877683768,,cross,0.0474321596770575,0.0651845547701344,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,LDO-USDT-SWAP,SWAP,3,1.847779761904762,1698877599372,,cross,0.0816984347366687,0.1434078193836534,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,UNI-USDT-SWAP,SWAP,3,4.6006363636363637,1698873925821,,cross,0.0367538087616337,0.1382275576999258,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,NEAR-USDT-SWAP,SWAP,3,1.4800666666666667,1698871646216,,cross,0.0187153731813885,0.1205588664273719,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,GALA-USDT-SWAP,SWAP,3,0.0207611606217617,1698611742528,0.0139625968418641,isolated,-0.328184054322245,0.1604865648913086,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,BCH-USDT-SWAP,SWAP,3,260.12,1698126221704,174.70031282114385,isolated,-0.2544210364447178,0.0856487201047477,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,SNX-USDT-SWAP,SWAP,3,2.6503157894736843,1690772792818,1.7838068376908383,isolated,-0.2980578282627692,0.2447550871362653,net,1
F3688D46D0CC6370,AI Alpha,USDT,1280.2824809235042796,-61626.4188455100235929,100,66,1468,0,0.0000,994111.0,60,35,95,0.313,0.3571,-0.3578,-473.6907000000000721,3.31,,BNB-USDT-SWAP,SWAP,3,244.7660162601626017,1689321088118,164.46635082701596,isolated,-0.1785298851865165,0.1635712104176385,net,1
